dummy,n_species,min_species,species_order,training_data,testing_data,training_start,val_split,reconstruction_loss,depth,n_latent,beta,monitor,mode,learning_rate,batch_size,epochs,stride,n_bootstrap,n_tile,n_colors,fully_connected,testing,chunk_size,model_type,train_size,val_size,checkpoint_path,pix_err,patch_err
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Training from scratch,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_12-35-34/vae.ckpt,0.031030356884002686,0.2971887550200803
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Training from scratch,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_12-48-38/vae.ckpt,0.031657874584198,0.3132530120481928
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Training from scratch,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-28_09-41-58/vae.ckpt,0.029838085174560547,0.3132530120481928
dummy,16,2,abundance,union_patches,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Training from scratch,249,249,/Users/johannes/work/resecarin/models/bce/val_loss/union_patches/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_12-50-34/vae.ckpt,0.037023067474365234,0.3614457831325301
dummy,16,2,abundance,petrer_limestone,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Direct transfer from Petrer,498,498,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_17-25-53/vae.ckpt,0.0154837965965271,0.18072289156626506
dummy,16,2,abundance,petrer_limestone,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Direct transfer from Petrer,498,498,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-44-47/vae.ckpt,0.013930737972259521,0.16265060240963855
dummy,16,2,abundance,petrer_limestone,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Direct transfer from Petrer,498,498,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-03_09-26-02/vae.ckpt,0.010416686534881592,0.1144578313253012
dummy,16,2,abundance,petrer_limestone,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Direct transfer from Petrer,498,498,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-05-02_16-38-45/vae.ckpt,0.00909888744354248,0.11244979919678715
dummy,16,2,abundance,petrer_limestone,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Direct transfer from Petrer,498,498,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_20-51-06/vae.ckpt,0.007090866565704346,0.0783132530120482
dummy,16,2,abundance,petrer_limestone,union_patches,train_from_scratch,0.5,bce,32,16,1,val_loss,min,0.001,64,200,2,20,8,1,False,False,1,Direct transfer from Petrer,498,498,/Users/johannes/work/resecarin/models/bce/val_loss/petrer_limestone/train_from_scratch/n_species=16/depth=32/n_latent=16/val_split=0.50/2023-04-27_21-31-41/vae.ckpt,0.01146775484085083,0.11847389558232932
